category,brand,name,price,price_per_size,size,popularity_rank,out_of_item,item_url
"Beer, Non-Alcoholic",Ghia,"Ghia Le Spritz Ginger Non-Alcoholic, Can",,,,,yes,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4020006
"Beer, Non-Alcoholic",Heineken,"Heineken 0.0 Alcohol Free Beer, Cans",,,,,yes,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019399
"Beer, Non-Alcoholic",Best Day Brewing,"Best Day Brewing Non-Alcoholic Kölsch, Cans",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",38,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019933
"Beer, Non-Alcoholic",Ghia,"Ghia Le Spritz Lime & Salt Non-Alcoholic, Can",$6.99/ea,$13.98/pt,8fl oz,37,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4020007
"Beer, Non-Alcoholic",Best Day Brewing,"Best Day Brewing Non-Alcoholic Hazy IPA, Cans",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",36,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019932
"Beer, Non-Alcoholic",St. Agrestis,"St. Agrestis Phony Negroni, Glass Bottle",$6.99/ea,$34.95/l,200ml,35,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019952
"Beer, Non-Alcoholic",Hoplark,"Hoplark 0.0 Non-Alcoholic Hopped Brew, Really Really Hoppy, Cans",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",34,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019209
"Beer, Non-Alcoholic",Lyre's,"Lyre's Non-Alcoholic Amalfi Spritz, Cans",$17.99/ea,$8.52/pt,"4ct, 8.45fl oz ea",33,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4018999
"Beer, Non-Alcoholic",Lyre's,"Lyre's Non-Alcoholic Classico Sparkling Cocktail, Cans",$17.99/ea,$8.52/pt,"4ct, 8.45fl oz ea",32,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019001
"Beer, Non-Alcoholic",Peroni,"Peroni 0.0 Non-Alcoholic Beer, Glass Bottles",$12.99/ea,$3.09/pt,"6ct, 11.2fl oz ea",31,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019338
"Beer, Non-Alcoholic",Samuel Adams,"Samuel Adams Just the Haze Non-Alcoholic IPA, Cans",$13.99/ea,$3.11/pt,"6ct, 12fl oz ea",30,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4018921
"Beer, Non-Alcoholic",Athletic Brewing Co.,"Athletic Brewing Co. Upside Dawn Non-Alcoholic Golden, Cans",$22.99/ea,$2.55/pt,"12ct, 12fl oz ea",29,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019242
"Beer, Non-Alcoholic",Lyre's,"Lyre's Non-Alcoholic G&T, Cans",$17.99/ea,$8.52/pt,"4ct, 8.45fl oz ea",28,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019000
"Beer, Non-Alcoholic",Stella Artois,"Stella Artois Liberté 0.0 Alcohol Free Beer, Glass Bottles",$12.99/ea,$3.09/pt,"6ct, 11.2fl oz ea",27,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4018257
"Beer, Non-Alcoholic",Hoplark,"Hoplark 0.0 Non-Alcoholic Hopped Brew, Citra, Cans",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",26,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019210
"Beer, Non-Alcoholic",Athletic Brewing Co.,"Athletic Brewing Co. All Out Non-Alcoholic Stout, Cans",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",25,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4018735
"Beer, Non-Alcoholic",Ghia,"Ghia Le Spritz Non-Alcoholic, Can",$6.99/ea,$13.98/pt,8fl oz,24,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019535
"Beer, Non-Alcoholic",Corona,"Corona Non-Alcoholic Beer, Glass Bottles",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",23,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019141
"Beer, Non-Alcoholic",O'Doul's,"O'Doul's Non-Alcoholic Beer, Glass Bottles",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",22,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/beer_odouls_sxbt
"Beer, Non-Alcoholic",Budweiser,"Budweiser Zero, Cans",$18.99/ea,$2.11/pt,"12ct, 12fl oz ea",21,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4016602
"Beer, Non-Alcoholic",Athletic Brewing Co.,"Athletic Brewing Co. Run Wild Non-Alcoholic IPA, Cans",$22.99/ea,$2.55/pt,"12ct, 12fl oz ea",20,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019241
"Beer, Non-Alcoholic",Brooklyn Brewery,"Brooklyn Brewery Special Effects Non-Alcoholic IPA, Cans",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",19,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4016859
"Beer, Non-Alcoholic",Clausthaler,"Clausthaler Grapefruit Non-Alcoholic Beer, Glass Bottles",$10.99/ea,$2.62/pt,"6ct, 11.2fl oz ea",18,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4016230
"Beer, Non-Alcoholic",,Noughty Organic Non-Alcoholic Sparkling Chardonnay,$22.99/ea,$30.65/l,750ml,17,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4019050
"Beer, Non-Alcoholic",Lagunitas,"Lagunitas IPNA Non-Alcoholic IPA, Glass Bottles",$13.99/ea,$3.11/pt,"6ct, 12fl oz ea",16,,https://www.freshdirect.com/supergro/beer/sc/beer_non_alcoholic/p/gro_pid_4016849
