name,price,sale_price,brand,ingredients,category,product_url,serving_size,servings_per_container,serving_size_uom
"Modelo Especial, 12 fl oz",19.99,,Grupo Modelo,,"Home\Products\Wine, Beer & Spirits\Beer\Modelo Especial, 12 fl oz",https://www.wholefoodsmarket.com/product/grupo-modelo-modelo-especial-12-fl-oz-b06xd3t283,,,
"Run Wild Non-Alcoholic IPA, 12 fl oz",11.99,,ATHLETIC BREWING CO,"Ingredients: Water, Organic Vienna Malt, Malted Barley, Oats, Hops, Wheat, Yeast","Home\Products\Wine, Beer & Spirits\Beer\Run Wild Non-Alcoholic IPA, 12 fl oz",https://www.wholefoodsmarket.com/product/athletic-brewing-co-run-wild-nonalcoholic-ipa-12-fl-oz-b07djpvx8w,12,1,fl oz
"Blue Moon Belgian White Ale (6-pk), 12 fl oz",13.49,,Blue Moon Brewing Company,"Ingredients: Water, Barley Malt, Wheat, Yeast, Hop Extract, Oats, Orange Peel, Coriander.","Home\Products\Wine, Beer & Spirits\Beer\Blue Moon Belgian White Ale (6-pk), 12 fl oz",https://www.wholefoodsmarket.com/product/blue-moon-brewing-company-blue-moon-belgian-white-ale-6pk-12-fl-oz-b01dnhmjnw,12,1,fl oz
"Modelo Especial 6pk, 12 fl oz",10.49,,Grupo Modelo,,"Home\Products\Wine, Beer & Spirits\Beer\Modelo Especial 6pk, 12 fl oz",https://www.wholefoodsmarket.com/product/grupo-modelo-modelo-especial-6pk-12-fl-oz-b0016xmxz0,,,
"Blood Orange Mint 6pk, 355 ml",15.99,14.99,JUNESHINE,"Ingredients: Filtered Water, Cane Sugar*, Honey*, Blood Orange Juice*, Green Tea*, Hibiscus*, Spearmint Essential Oil*, Yeast, Jun Kombucha Culture","Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Blood Orange Mint 6pk, 355 ml",https://www.wholefoodsmarket.com/product/juneshine-blood-orange-mint-6pk-355-ml-b07rm3jmbn,1,6,can
Hazy Little Thing 6 Pack (12 oz Cans),10.99,,Sierra Nevada,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Hazy Little Thing 6 Pack (12 oz Cans)",https://www.wholefoodsmarket.com/product/sierra-nevada-hazy-little-thing-6-pack-12-oz-cans-b079rmzl3c,,,
"Alcohol Free Beer, 11.2 fl oz",12.49,,Heineken,"Ingredients: Water, Malted Barley, Hop Extract and Natural Flavor Malt Beverage With Natural Flavor","Home\Products\Wine, Beer & Spirits\Beer\Alcohol Free Beer, 11.2 fl oz",https://www.wholefoodsmarket.com/product/heineken-alcohol-free-beer-112-fl-oz-b07kssjw94,11.2,6,fl oz
"Free Wave Hazy IPA, 12 fl oz",11.99,,ATHLETIC BREWING CO,"Ingredients: Water, Organic Vienna Malt, Malted Barley, Wheat, Hops, Yeast","Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Free Wave Hazy IPA, 12 fl oz",https://www.wholefoodsmarket.com/product/athletic-brewing-co-free-wave-hazy-ipa-12-fl-oz-b08x2szfbr,,,
"Ginger Beer 4 Pack, 6.8 fl oz",5.79,4.79,Fever Tree,"Ingredients: Carbonated Spring Water, Fructose (Fruit Sugar), Ginger Root, Natural Ginger Flavouring With Other Natural Flavourings, Tartaric Acid, Ascorbic Acid.","Home\Products\Wine, Beer & Spirits\Beer\Ginger Beer 4 Pack, 6.8 fl oz",https://www.wholefoodsmarket.com/product/fever-tree-ginger-beer-4-pack-68-fl-oz-b01m0xccxg,1,1,bottle
"Founders All Day IPA, 15 pk, 12 oz cans, 4.7% ABV",19.99,,Founders Brewing Co.,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Founders All Day IPA, 15 pk, 12 oz cans, 4.7% ABV",https://www.wholefoodsmarket.com/product/founders-brewing-co-founders-all-day-ipa-15-pk-12-oz-cans-47-abv-b00mw521ki,,,
Hazy Little Thing 12 Pack (12 oz Cans),19.99,,Sierra Nevada,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Hazy Little Thing 12 Pack (12 oz Cans)",https://www.wholefoodsmarket.com/product/sierra-nevada-hazy-little-thing-12-pack-12-oz-cans-b07lfnyj6w,,,
"Premium Lager, 1 pt",4.49,,SAPPORO,,"Home\Products\Wine, Beer & Spirits\Beer\Premium Lager, 1 pt",https://www.wholefoodsmarket.com/product/sapporo-premium-lager-1-pt-b07kyx56lc,,,
"Grapefruit Paloma Hard Kombucha, 12 fl oz",15.99,14.99,JUNESHINE,"Ingredients: Filtered Water, Cane Sugar, Grapefruit Juice, Honey, Orange Juice, Green Tea, Lime Juice, Grapefruit Exract, Grapefruit Flavor, Hibiscus, Yeast, Jun Kombucha Culture.","Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Grapefruit Paloma Hard Kombucha, 12 fl oz",https://www.wholefoodsmarket.com/product/juneshine-grapefruit-paloma-hard-kombucha-12-fl-oz-b095jj32k3,1,6,can
"Sip of Sunshine, 4pk, 16 ounce",18.49,,LAWSON'S FINEST LIQUIDS,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Sip of Sunshine, 4pk, 16 ounce",https://www.wholefoodsmarket.com/product/lawsons-finest-liquids-sip-of-sunshine-4pk-16-ounce-b07fzhd7fy,,,
"Voodoo Ranger Imperial IPA, 19.2oz Can",2.99,,,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Voodoo Ranger Imperial IPA, 19.2oz Can",https://www.wholefoodsmarket.com/product/voodoo-ranger-imperial-ipa-192oz-can-b07ps4psl8,,,
"Fat Tire Ale, 6 bottles",12.49,,,,"Home\Products\Wine, Beer & Spirits\Beer\Fat Tire Ale, 6 bottles",https://www.wholefoodsmarket.com/product/fat-tire-ale-6-bottles-b003zdhs7w,,,
Pale Ale 6 Pack (12oz Bottles),11.99,,Sierra Nevada,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Pale Ale 6 Pack (12oz Bottles)",https://www.wholefoodsmarket.com/product/sierra-nevada-pale-ale-6-pack-12oz-bottles-b0017jl3ja,,,
"Dry Rose Cider, 12 fl oz",15.99,14.99,Wolffer Estate,Ingredients Hard Cider from Apples,"Home\Products\Wine, Beer & Spirits\Beer\Hard Cider\Dry Rose Cider, 12 fl oz",https://www.wholefoodsmarket.com/product/wolffer-estate-dry-rose-cider-12-fl-oz-b07q3732dl,1,1,bottle
"Czech Pilsner (6-pk), 11.2 fl oz",10.49,,Pilsner Urquell,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Czech Pilsner (6-pk), 11.2 fl oz",https://www.wholefoodsmarket.com/product/pilsner-urquell-czech-pilsner-6pk-112-fl-oz-b0016m0seo,,,
"Golden Ale 4pk, 330 ml",17.99,,Duvel,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Golden Ale 4pk, 330 ml",https://www.wholefoodsmarket.com/product/duvel-golden-ale-4pk-330-ml-b005j0pqpu,,,
"Hard Seltzer Lemonade Variety Pack, Spiked & Sparkling Water 12pk, 144 fl oz",18.99,,TRULY Hard Seltzer,"Ingredients: Filtered Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Sodium Citrate, Cane Sugar, Stevia Sweetener, Lemon Juice Concentrate","Home\Products\Wine, Beer & Spirits\Beer\Hard Seltzer\Hard Seltzer Lemonade Variety Pack, Spiked & Sparkling Water 12pk, 144 fl oz",https://www.wholefoodsmarket.com/product/truly-hard-seltzer-hard-seltzer-lemonade-variety-pack-spiked-sparkling-water-12pk-144-fl-oz-b07zldxcmx,12,12,fl oz
"Trippel Belgian Style Ale, 6pk Bottle, 12 fl oz",12.49,,,,"Home\Products\Wine, Beer & Spirits\Beer\Ale\Trippel Belgian Style Ale, 6pk Bottle, 12 fl oz",https://www.wholefoodsmarket.com/product/trippel-belgian-style-ale-6pk-bottle-12-fl-oz-b0016lt3au,,,
"Allagash White 4-pack Cans, 16 fl oz",12.99,,Allagash Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\Wheat Beer\Allagash White 4-pack Cans, 16 fl oz",https://www.wholefoodsmarket.com/product/allagash-brewery-allagash-white-4pack-cans-16-fl-oz-b07ppvc9hn,,,
"Black Cherry, 12 fl oz",18.49,,White Claw,"Ingredients: Purified Carbonated Water Alcohol Natural Flavors, Cane Sugar, Citric Acid, Natural Cherry Juice Concentrate, Sodium Citrate.","Home\Products\Wine, Beer & Spirits\Beer\Hard Seltzer\Black Cherry, 12 fl oz",https://www.wholefoodsmarket.com/product/white-claw-black-cherry-12-fl-oz-b07fy74g7l,1,12,can
"Crisp Apple Hard Cider, Spiked 6pk, 12 oz",11.49,,Angry Orchard,,"Home\Products\Wine, Beer & Spirits\Beer\Hard Cider\Crisp Apple Hard Cider, Spiked 6pk, 12 oz",https://www.wholefoodsmarket.com/product/angry-orchard-crisp-apple-hard-cider-spiked-6pk-12-oz-b008ixztoi,,,
Cigar City Jai Alai IPA 6 Pack 12 oz can,12.99,,Cigar City Brewing,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Cigar City Jai Alai IPA 6 Pack 12 oz can",https://www.wholefoodsmarket.com/product/cigar-city-brewing-cigar-city-jai-alai-ipa-6-pack-12-oz-can-b073qlh3n8,,,
